,sex,college,age,vote
7488,1,1,47-65,1
7489,2,1,26-34,1
7490,1,0,80+,1
7491,1,1,47-65,1
7492,2,0,47-65,1
7493,2,0,47-65,1
7494,1,0,65-79,1
7495,2,0,65-79,2
7496,2,1,47-65,1
7497,1,1,65-79,1
7498,1,1,35-46,2
7499,1,0,26-34,1
7500,2,1,26-34,1
7501,1,1,26-34,2
7502,2,0,47-65,1
7503,2,0,47-65,1
7504,1,1,47-65,1
7505,1,1,65-79,2
7506,2,1,35-46,1
7507,1,0,47-65,2
7508,2,0,65-79,1
7509,1,0,47-65,1
7510,2,1,47-65,1
7511,1,0,26-34,2
7512,2,0,80+,2
7513,1,0,47-65,1
7514,1,0,47-65,1
7515,1,0,65-79,2
7516,1,0,47-65,1
7517,2,1,47-65,1
7518,1,0,47-65,1
7519,2,0,47-65,2
7520,2,1,26-34,2
7521,2,0,35-46,1
7522,2,0,35-46,2
7523,2,1,47-65,2
7524,1,0,35-46,1
7525,2,1,47-65,2
7526,2,0,47-65,2
7527,2,1,47-65,2
7528,2,1,47-65,1
7529,1,1,35-46,1
7530,2,1,47-65,1
7531,1,0,47-65,2
7532,2,1,26-34,1
7533,2,1,47-65,2
7534,1,1,65-79,1
7535,1,1,65-79,1
7536,1,1,47-65,2
7537,1,1,35-46,1
7538,2,0,65-79,1
7539,2,0,80+,2
7540,1,0,26-34,2
7541,1,0,47-65,1
7542,2,1,35-46,2
7543,1,1,65-79,2
7544,1,1,35-46,1
7545,2,1,47-65,2
7546,1,0,65-79,1
7547,2,1,35-46,2
7548,2,0,65-79,1
7549,2,0,47-65,1
7550,2,0,18-25,1
7551,2,1,47-65,1
7552,2,0,47-65,1
7553,2,0,47-65,1
7554,1,1,35-46,2
7555,2,1,47-65,1
7556,2,0,35-46,2
7557,2,0,47-65,1
7558,1,1,47-65,2
7559,2,1,35-46,1
7560,2,0,26-34,1
7561,2,0,18-25,1
7562,2,1,47-65,1
7563,1,1,47-65,2
7564,2,1,35-46,2
7565,2,1,35-46,2
7566,2,1,26-34,1
7567,2,1,47-65,1
7568,1,0,47-65,1
7569,2,1,26-34,2
7570,2,0,35-46,2
7571,2,0,47-65,1
7572,1,1,26-34,1
7573,1,1,26-34,1
7574,2,1,47-65,1
7575,2,0,47-65,1
7576,2,1,47-65,2
7577,2,1,26-34,1
7578,2,1,65-79,1
7579,2,1,47-65,1
7580,2,1,47-65,1
7581,2,0,65-79,2
7582,1,1,26-34,1
7583,1,1,65-79,2
7584,2,1,35-46,1
7585,2,0,80+,2
7586,2,1,47-65,1
7587,2,0,65-79,1
7588,2,1,47-65,1
7589,2,0,18-25,2
7590,1,1,47-65,1
7591,1,0,47-65,1
7592,1,1,26-34,1
7593,2,1,35-46,1
7594,2,0,47-65,1
7595,2,0,47-65,1
7596,1,1,35-46,2
7597,1,1,65-79,2
7598,1,0,18-25,1
7599,2,1,65-79,2
7600,1,1,65-79,1
7601,2,1,65-79,1
7602,2,1,26-34,2
7603,2,1,26-34,2
7604,1,1,35-46,2
7605,1,1,80+,1
7606,1,1,26-34,1
7607,2,0,35-46,1
7608,2,1,47-65,2
7609,2,1,65-79,2
7610,1,1,26-34,1
7611,1,1,26-34,1
7612,2,0,65-79,2
7613,2,0,80+,1
7614,1,1,47-65,1
7615,1,1,80+,2
7616,2,1,80+,1
7617,1,1,65-79,1
7618,1,0,47-65,1
7619,1,1,26-34,1
7620,1,0,47-65,2
7621,2,0,26-34,2
7622,1,1,65-79,1
7623,1,0,47-65,2
7624,1,0,80+,1
7625,2,1,47-65,1
7626,2,0,65-79,1
7627,2,1,47-65,2
7628,2,1,65-79,2
7629,2,1,65-79,2
7630,1,1,35-46,1
7631,2,0,47-65,2
7632,2,0,65-79,2
7633,2,0,26-34,2
7634,2,1,47-65,2
7635,1,1,65-79,2
7636,2,1,35-46,2
7637,2,0,35-46,2
7638,2,0,80+,2
7639,2,0,47-65,1
7640,2,1,47-65,2
7641,1,1,65-79,1
7642,1,1,35-46,1
7643,1,0,47-65,2
7644,2,0,18-25,1
7645,1,1,35-46,2
7646,2,0,65-79,2
7647,2,1,65-79,1
7648,1,1,65-79,1
7649,2,1,65-79,2
7650,1,0,26-34,2
7651,2,0,65-79,1
7652,1,1,47-65,2
7653,2,1,26-34,1
7654,2,1,26-34,1
7655,2,1,65-79,1
7656,2,1,47-65,2
7657,1,1,35-46,2
7658,1,1,47-65,1
7659,1,1,47-65,1
7660,2,1,65-79,1
7661,1,0,65-79,1
7662,2,0,47-65,2
7663,1,1,35-46,1
7664,2,1,18-25,1
7665,1,0,65-79,1
7666,1,0,35-46,2
7667,2,1,35-46,1
7668,1,1,47-65,1
7669,1,1,47-65,2
7670,2,1,47-65,2
7671,2,1,47-65,1
7672,2,1,26-34,2
7673,1,1,35-46,1
7674,1,0,47-65,2
7675,1,0,47-65,2
7676,1,0,26-34,1
7677,2,0,47-65,2
7678,2,1,35-46,1
7679,1,1,35-46,1
7680,1,1,47-65,2
7681,1,1,26-34,2
7682,1,1,18-25,2
7683,2,0,35-46,2
7684,1,0,35-46,1
7685,2,1,26-34,1
7686,2,1,47-65,1
7687,2,0,47-65,1
7688,1,0,47-65,2
7689,2,1,35-46,2
7690,2,1,47-65,2
7691,2,0,35-46,1
7692,1,1,65-79,2
7693,1,0,35-46,2
7694,2,1,65-79,1
7695,1,0,65-79,1
7696,2,1,47-65,2
7697,2,1,18-25,1
7698,1,0,65-79,1
7699,2,1,65-79,1
7700,2,1,26-34,1
7701,1,1,47-65,1
7702,1,0,47-65,1
7703,1,1,65-79,2
7704,1,1,35-46,2
7705,2,0,80+,2
7706,2,0,47-65,2
7707,1,1,35-46,2
7708,2,0,65-79,1
7709,1,1,47-65,2
7710,1,0,47-65,1
7711,2,1,47-65,2
7712,2,0,47-65,1
7713,2,0,18-25,1
7714,2,1,47-65,2
7715,1,1,65-79,1
7716,1,1,47-65,2
7717,1,0,47-65,2
7718,1,1,47-65,2
7719,2,0,18-25,1
7720,1,1,80+,2
7721,2,1,47-65,1
7722,1,1,26-34,2
7723,2,1,35-46,1
7724,1,0,26-34,1
7725,1,1,35-46,1
7726,2,1,47-65,2
7727,2,1,65-79,1
7728,2,1,35-46,1
7729,1,1,47-65,2
7730,1,1,65-79,1
7731,1,0,65-79,1
7732,2,1,80+,1
7733,2,1,35-46,2
7734,2,1,47-65,1
7735,1,1,47-65,1
7736,1,0,18-25,2
7737,1,0,47-65,1
7738,2,1,65-79,2
7739,1,0,47-65,1
7740,1,1,35-46,2
7741,1,1,47-65,2
7742,2,1,65-79,1
7743,1,1,65-79,2
7744,2,0,47-65,2
7745,1,1,65-79,1
7746,2,1,47-65,1
7747,1,1,35-46,1
7748,1,0,65-79,2
7749,2,1,35-46,1
7750,2,1,65-79,2
7751,1,1,65-79,2
7752,1,0,35-46,1
7753,2,1,35-46,1
7754,1,0,35-46,2
7755,2,1,65-79,1
7756,2,1,35-46,2
7757,2,1,47-65,1
7758,2,1,47-65,1
7759,2,1,47-65,1
7760,1,0,47-65,1
7761,1,1,47-65,1
7762,2,0,80+,1
7763,2,1,65-79,2
7764,2,1,47-65,2
7765,2,0,35-46,2
7766,1,0,47-65,1
7767,1,1,47-65,2
7768,2,1,65-79,2
7769,2,1,65-79,1
7770,2,0,65-79,1
7771,2,1,35-46,2
7772,2,0,47-65,2
7773,2,0,35-46,2
7774,1,0,65-79,2
7775,2,0,65-79,1
7776,1,1,18-25,2
7777,2,1,35-46,1
7778,1,1,26-34,2
7779,1,0,26-34,2
7780,1,1,47-65,1
7781,2,0,47-65,1
7782,2,1,65-79,1
7783,1,1,47-65,1
7784,1,0,47-65,2
7785,1,1,65-79,1
7786,2,0,65-79,1
7787,2,0,65-79,2
7788,2,0,47-65,1
7789,1,0,65-79,2
7790,2,1,47-65,2
7791,2,1,65-79,1
7792,2,1,26-34,1
7793,1,0,47-65,1
7794,1,1,35-46,1
7795,1,1,47-65,1
7796,1,1,26-34,1
7797,2,1,47-65,1
7798,1,1,47-65,2
7799,1,1,47-65,1
7800,2,1,80+,1
7801,1,0,65-79,1
7802,1,0,26-34,2
7803,2,0,35-46,2
7804,1,0,47-65,1
7805,1,1,65-79,1
7806,2,0,47-65,2
7807,1,1,47-65,1
7808,2,1,35-46,2
7809,1,0,35-46,1
7810,1,1,65-79,1
7811,1,0,18-25,1
7812,1,0,35-46,1
7813,1,1,18-25,1
7814,2,1,35-46,1
7815,1,0,47-65,1
7816,2,1,47-65,2
7817,1,0,65-79,1
7818,1,0,65-79,1
7819,2,1,26-34,1
7820,2,1,26-34,1
7821,2,1,47-65,2
7822,1,0,18-25,2
7823,1,1,26-34,2
7824,1,0,26-34,1
7825,1,1,80+,1
7826,2,0,26-34,1
7827,1,1,47-65,1
7828,1,1,26-34,1
7829,2,1,47-65,1
7830,2,1,65-79,1
7831,2,0,65-79,1
7832,2,1,65-79,1
7833,2,1,18-25,1
7834,2,1,47-65,1
7835,2,1,65-79,1
7836,2,0,18-25,2
7837,1,0,47-65,2
7838,2,1,65-79,2
7839,2,1,47-65,1
7840,1,0,47-65,2
7841,2,0,65-79,1
7842,1,1,47-65,2
7843,2,1,35-46,2
7844,1,0,26-34,1
7845,2,0,65-79,1
7846,2,1,35-46,1
7847,2,1,47-65,1
7848,1,0,47-65,2
7849,1,1,65-79,2
7850,2,0,47-65,1
7851,2,0,65-79,2
7852,2,1,65-79,1
7853,1,1,65-79,2
7854,1,1,35-46,1
7855,1,1,65-79,2
7856,2,1,47-65,1
7857,2,0,47-65,2
7858,1,0,80+,1
7859,2,1,47-65,1
7860,2,1,26-34,1
7861,1,1,47-65,2
7862,1,1,47-65,2
7863,1,0,65-79,1
7864,1,0,18-25,1
7865,1,1,35-46,1
7866,1,0,65-79,2
7867,2,0,35-46,1
7868,2,1,47-65,1
7869,1,0,47-65,1
7870,2,1,26-34,2
7871,1,1,47-65,2
7872,2,0,65-79,1
7873,2,1,35-46,2
7874,2,1,65-79,2
7875,2,0,47-65,2
7876,1,1,47-65,1
7877,2,0,65-79,1
7878,1,1,26-34,1
7879,1,1,26-34,1
7880,2,1,65-79,2
7881,2,0,80+,1
7882,2,0,47-65,2
7883,1,1,35-46,1
7884,2,0,35-46,1
7885,2,1,47-65,1
7886,2,0,47-65,1
7887,1,1,47-65,1
7888,1,0,65-79,1
7889,1,1,35-46,1
7890,1,1,47-65,2
7891,2,1,35-46,1
7892,2,1,35-46,1
7893,2,0,47-65,1
7894,2,0,35-46,2
7895,2,0,35-46,2
7896,1,1,26-34,2
7897,2,0,35-46,2
7898,2,0,35-46,1
7899,1,0,35-46,1
7900,2,1,80+,1
7901,2,0,65-79,2
7902,2,1,65-79,1
7903,2,1,18-25,1
7904,2,1,47-65,1
7905,1,0,47-65,1
7906,2,1,26-34,1
7907,1,0,47-65,1
7908,2,0,65-79,2
7909,2,0,47-65,1
7910,1,1,65-79,2
7911,2,1,26-34,2
7912,1,0,47-65,1
7913,2,0,65-79,2
7914,2,0,35-46,1
7915,2,0,47-65,2
7916,2,0,65-79,1
7917,2,0,65-79,2
7918,1,1,65-79,2
7919,2,1,26-34,1
7920,2,1,18-25,2
7921,1,0,65-79,1
7922,2,1,47-65,1
7923,1,1,47-65,1
7924,1,0,65-79,1
7925,1,1,65-79,1
7926,2,1,35-46,1
7927,1,1,65-79,2
7928,1,0,65-79,2
7929,2,1,47-65,2
7930,2,0,47-65,2
7931,2,0,26-34,2
7932,2,0,47-65,1
7933,2,1,47-65,1
7934,2,0,65-79,2
7935,1,0,65-79,2
7936,1,1,35-46,2
7937,2,1,47-65,2
7938,2,1,47-65,1
7939,1,1,65-79,2
7940,2,1,26-34,1
7941,2,1,35-46,1
7942,1,0,47-65,1
7943,1,1,65-79,2
7944,1,1,47-65,1
7945,1,1,47-65,2
7946,2,0,80+,1
7947,2,1,65-79,1
7948,1,0,47-65,2
7949,2,0,47-65,2
7950,2,1,65-79,2
7951,1,1,65-79,2
7952,2,0,65-79,2
7953,1,0,26-34,2
7954,2,1,47-65,2
7955,2,1,47-65,1
7956,2,1,65-79,2
7957,2,0,35-46,1
7958,1,0,65-79,2
7959,1,0,35-46,1
7960,1,0,47-65,1
7961,1,0,80+,1
7962,1,0,65-79,1
7963,2,1,35-46,1
7964,2,1,47-65,1
7965,1,1,65-79,1
7966,1,0,47-65,1
7967,1,1,47-65,1
7968,1,0,47-65,1
7969,1,1,26-34,2
7970,2,0,65-79,2
7971,2,0,18-25,2
7972,2,0,47-65,1
7973,1,0,47-65,1
7974,1,1,80+,2
7975,2,1,47-65,2
7976,1,1,47-65,1
7977,2,1,26-34,1
7978,2,0,47-65,2
7979,2,0,65-79,1
7980,1,1,80+,1
7981,2,0,65-79,2
7982,2,0,80+,2
7983,1,1,47-65,1
7984,2,1,65-79,1
7985,1,1,65-79,2
7986,2,1,65-79,1
7987,2,1,47-65,1
7988,1,1,65-79,2
7989,2,1,47-65,2
7990,2,1,47-65,1
7991,2,0,47-65,1
7992,1,1,65-79,1
7993,1,1,26-34,1
7994,2,1,65-79,2
7995,2,0,65-79,1
7996,2,1,35-46,1
7997,2,0,65-79,2
7998,2,0,18-25,2
7999,2,1,18-25,2
8000,1,1,18-25,2
8001,1,1,35-46,1
8002,2,0,65-79,2
8003,1,1,35-46,1
8004,2,1,35-46,1
8005,1,0,35-46,1
8006,1,1,47-65,2
8007,1,0,47-65,1
8008,2,1,26-34,1
8009,1,1,35-46,2
8010,2,0,26-34,1
8011,2,1,65-79,1
8012,1,1,47-65,1
8013,2,0,65-79,2
8014,2,1,65-79,1
8015,2,1,47-65,1
8016,1,1,35-46,2
8017,1,1,35-46,2
8018,2,1,47-65,1
8019,2,1,26-34,1
8020,2,0,47-65,2
8021,2,1,47-65,1
8022,1,1,47-65,2
8023,1,0,47-65,1
8024,2,1,65-79,2
8025,2,0,65-79,1
8026,1,1,65-79,2
8027,2,1,35-46,1
8028,1,1,80+,2
8029,2,0,80+,1
8030,2,0,65-79,2
8031,2,0,18-25,1
8032,1,0,80+,1
8033,2,0,65-79,1
8034,2,0,80+,2
8035,1,0,47-65,1
8036,2,0,26-34,1
8037,2,0,18-25,2
8038,1,0,47-65,1
8039,2,1,65-79,2
8040,2,0,47-65,2
8041,1,0,35-46,2
8042,2,0,47-65,1
8043,1,1,80+,2
8044,2,0,35-46,2
8045,2,0,47-65,2
8046,1,0,47-65,2
8047,1,1,65-79,1
8048,1,1,65-79,1
8049,2,1,47-65,1
8050,2,1,65-79,1
8051,2,0,47-65,1
8052,2,0,26-34,1
8053,1,0,35-46,1
8054,2,0,65-79,2
8055,2,0,47-65,2
8056,2,1,26-34,1
8057,2,1,26-34,1
8058,2,1,35-46,1
8059,1,1,65-79,2
8060,1,1,47-65,1
8061,2,1,65-79,2
8062,2,0,47-65,1
8063,2,1,65-79,2
8064,1,1,65-79,2
8065,2,1,47-65,1
8066,2,0,47-65,2
8067,2,1,26-34,1
8068,1,1,35-46,1
8069,2,1,47-65,1
8070,1,1,47-65,2
8071,2,1,47-65,1
8072,2,0,65-79,1
8073,1,1,47-65,1
8074,2,0,47-65,2
8075,2,0,47-65,2
8076,1,1,47-65,1
8077,2,1,47-65,1
8078,1,1,65-79,1
8079,2,0,65-79,2
8080,2,0,35-46,1
8081,2,1,47-65,2
8082,1,0,26-34,1
8083,2,1,35-46,2
8084,1,0,47-65,2
8085,2,1,26-34,1
8086,1,0,65-79,1
8087,1,1,65-79,1
8088,2,1,18-25,2
8089,2,1,80+,1
8090,1,0,26-34,2
8091,2,1,65-79,1
8092,2,1,47-65,2
8093,1,0,47-65,1
8094,2,1,65-79,1
8095,2,1,65-79,2
8096,1,0,80+,1
8097,1,1,65-79,2
8098,2,1,35-46,1
8099,2,1,47-65,1
8100,2,1,65-79,1
8101,2,0,35-46,2
8102,1,1,80+,1
8103,1,1,26-34,1
8104,1,1,26-34,1
8105,2,1,65-79,2
8106,2,1,47-65,2
8107,1,1,47-65,2
8108,1,1,35-46,2
8109,2,1,35-46,1
8110,2,0,65-79,1
8111,1,1,35-46,2
8112,2,0,35-46,2
8113,1,0,47-65,1
8114,2,1,65-79,2
8115,1,1,47-65,1
8116,1,1,35-46,2
8117,1,0,26-34,2
8118,1,0,47-65,1
8119,2,1,47-65,1
8120,2,0,65-79,1
8121,1,1,47-65,1
8122,1,1,35-46,1
8123,2,1,35-46,2
8124,2,1,18-25,1
8125,2,0,26-34,1
8126,2,0,47-65,1
8127,2,1,80+,2
8128,2,1,65-79,2
8129,2,1,26-34,1
8130,2,0,80+,2
8131,2,0,47-65,2
8132,2,1,35-46,2
8133,2,0,35-46,2
8134,1,1,47-65,1
8135,1,0,65-79,2
8136,2,1,26-34,1
8137,2,1,35-46,1
8138,2,1,65-79,1
8139,2,1,35-46,1
8140,2,0,26-34,2
8141,2,0,65-79,1
8142,2,1,80+,1
8143,1,0,35-46,2
8144,2,1,35-46,2
8145,1,1,65-79,1
8146,2,1,35-46,1
8147,2,1,47-65,2
8148,1,0,47-65,1
8149,1,1,47-65,2
8150,1,0,65-79,1
8151,1,1,47-65,1
8152,1,1,65-79,2
8153,1,0,47-65,1
8154,1,1,47-65,1
8155,1,1,65-79,1
8156,2,0,80+,2
8157,1,0,47-65,1
8158,2,1,65-79,1
8159,1,0,26-34,1
8160,2,1,47-65,1
8161,2,0,35-46,2
8162,1,0,47-65,2
8163,2,0,26-34,1
8164,2,1,35-46,1
8165,1,1,35-46,1
8166,1,0,18-25,2
8167,2,1,35-46,1
8168,2,1,47-65,1
8169,1,1,80+,2
8170,2,1,65-79,1
8171,2,0,47-65,2
8172,2,0,26-34,2
8173,1,1,65-79,2
8174,1,1,26-34,2
8175,1,1,47-65,1
8176,1,1,65-79,1
8177,2,0,18-25,1
8178,2,1,26-34,1
8179,1,0,47-65,1
8180,1,1,35-46,1
8181,2,0,26-34,2
8182,1,1,35-46,1
8183,1,1,18-25,2
8184,1,1,35-46,1
8185,2,1,65-79,1
8186,2,0,80+,2
8187,2,0,65-79,2
8188,2,1,26-34,2
8189,1,0,35-46,2
8190,2,0,47-65,2
8191,1,1,65-79,2
8192,1,1,47-65,1
8193,1,1,35-46,1
8194,2,0,47-65,1
8195,2,0,80+,1
8196,1,0,47-65,2
8197,1,1,65-79,2
8198,2,1,35-46,2
8199,2,0,65-79,1
8200,2,1,65-79,2
8201,2,0,65-79,2
8202,1,0,26-34,2
8203,2,1,65-79,1
8204,1,0,47-65,2
8205,2,1,18-25,1
8206,1,1,35-46,2
8207,1,1,26-34,1
8208,1,1,47-65,1
8209,2,1,35-46,1
8210,1,1,65-79,2
8211,1,1,65-79,2
8212,2,0,26-34,2
8213,2,1,47-65,1
8214,2,1,47-65,1
8215,2,1,47-65,1
8216,2,1,47-65,2
8217,1,0,47-65,2
8218,2,1,26-34,1
8219,1,1,47-65,2
8220,2,1,65-79,1
8221,2,1,80+,1
8222,1,0,47-65,2
8223,1,0,80+,1
8224,2,0,65-79,2
8225,1,0,35-46,2
8226,1,0,65-79,1
8227,2,1,26-34,1
8228,1,1,47-65,1
8229,2,1,47-65,2
8230,1,1,26-34,2
8231,1,0,47-65,2
8232,2,1,26-34,2
8233,1,0,65-79,2
8234,2,1,26-34,2
8235,2,1,47-65,2
8236,2,0,47-65,1
8237,1,1,35-46,1
8238,1,0,47-65,1
8239,1,0,35-46,2
8240,1,0,65-79,2
8241,1,0,80+,1
8242,2,0,65-79,2
8243,2,1,26-34,2
8244,1,1,65-79,2
8245,2,1,35-46,1
8246,2,0,47-65,1
8247,2,0,47-65,2
8248,1,1,65-79,1
8249,1,1,80+,2
8250,2,0,47-65,2
8251,2,0,26-34,1
8252,2,1,47-65,2
8253,2,1,35-46,2
8254,2,0,47-65,2
8255,2,1,35-46,1
8256,2,0,18-25,1
8257,1,1,80+,1
8258,2,1,35-46,1
8259,1,0,35-46,1
8260,2,0,35-46,2
8261,1,0,18-25,1
8262,1,0,47-65,1
8263,2,0,26-34,1
8264,1,0,35-46,2
8265,2,0,47-65,2
8266,2,1,47-65,1
8267,1,1,65-79,1
8268,1,1,47-65,1
8269,1,1,47-65,1
8270,2,0,35-46,2
8271,1,1,18-25,1
8272,1,1,35-46,1
8273,2,1,18-25,1
8274,1,1,26-34,2
8275,1,1,35-46,1
8276,2,1,18-25,1
8277,1,0,26-34,2
8278,1,0,65-79,2
8279,1,1,47-65,1
8280,1,1,35-46,1
8281,1,0,35-46,2
8282,2,1,35-46,1
8283,2,0,47-65,1
8284,2,1,47-65,1
8285,2,1,35-46,1
8286,2,1,47-65,1
8287,2,0,65-79,2
8288,1,0,47-65,1
8289,1,1,80+,2
8290,2,1,65-79,2
8291,2,1,26-34,1
8292,1,1,65-79,1
8293,1,0,26-34,1
8294,2,1,65-79,2
8295,1,0,65-79,2
8296,2,1,65-79,2
8297,2,0,26-34,2
8298,2,1,35-46,2
8299,1,1,47-65,1
8300,2,0,35-46,2
8301,2,1,65-79,2
8302,1,1,80+,1
8303,1,1,47-65,2
8304,1,0,35-46,2
8305,2,1,47-65,1
8306,1,1,26-34,1
8307,1,1,26-34,2
8308,1,1,65-79,1
8309,1,1,65-79,2
8310,2,1,47-65,2
8311,1,1,18-25,2
8312,1,1,35-46,2
8313,1,0,26-34,1
8314,1,1,47-65,1
8315,2,1,47-65,2
8316,1,1,18-25,1
8317,2,1,47-65,1
8318,1,1,65-79,2
8319,2,1,47-65,2
8320,2,0,47-65,2
8321,2,1,47-65,1
8322,1,1,47-65,1
8323,1,1,47-65,2
8324,2,1,26-34,1
8325,2,1,47-65,2
8326,1,0,65-79,1
8327,2,1,65-79,1
8328,1,1,35-46,2
8329,1,0,47-65,2
8330,1,1,65-79,2
8331,1,0,47-65,2
8332,1,1,65-79,1
8333,1,1,65-79,1
8334,2,0,65-79,1
8335,1,0,35-46,1
8336,1,1,35-46,2
8337,2,0,47-65,2
8338,2,1,26-34,1
8339,2,1,47-65,1
8340,2,1,35-46,2
8341,2,1,47-65,2
8342,1,0,65-79,2
8343,1,0,47-65,2
8344,2,0,35-46,1
8345,1,0,80+,1
8346,1,1,65-79,2
8347,2,1,65-79,1
8348,2,1,65-79,1
8349,2,1,65-79,1
8350,1,0,47-65,1
8351,2,1,65-79,1
8352,1,0,47-65,2
8353,1,1,47-65,1
8354,2,0,65-79,1
8355,1,1,80+,2
8356,2,0,80+,2
8357,1,0,35-46,1
8358,1,0,35-46,1
8359,2,1,47-65,2
8360,1,0,35-46,2
8361,2,0,35-46,2
8362,2,1,47-65,2
8363,2,1,47-65,2
8364,2,1,65-79,2
8365,2,1,35-46,1
8366,1,0,35-46,1
8367,2,1,26-34,1
8368,1,1,47-65,1
8369,1,1,47-65,2
8370,2,0,35-46,2
8371,1,1,35-46,2
8372,2,1,26-34,1
8373,1,0,80+,1
8374,2,1,65-79,1
8375,1,1,26-34,1
8376,1,0,26-34,1
8377,2,1,18-25,2
8378,1,1,65-79,1
8379,1,0,65-79,2
8380,1,1,26-34,1
8381,2,1,18-25,1
8382,2,0,47-65,2
8383,2,0,35-46,2
8384,1,1,47-65,2
8385,2,0,65-79,1
8386,2,0,35-46,1
8387,1,1,47-65,2
8388,2,1,26-34,1
8389,2,1,35-46,2
8390,1,1,65-79,2
8391,1,0,47-65,1
8392,2,1,35-46,1
8393,2,0,35-46,1
8394,1,1,80+,2
8395,1,1,35-46,1
8396,2,1,26-34,2
8397,2,1,35-46,2
8398,1,0,35-46,2
8399,2,1,47-65,1
8400,2,1,65-79,2
8401,1,0,18-25,2
8402,2,1,47-65,2
8403,2,0,47-65,2
8404,1,1,35-46,1
8405,1,1,47-65,1
8406,1,0,47-65,2
8407,2,0,80+,1
8408,2,1,65-79,1
8409,2,1,18-25,1
8410,2,0,35-46,2
8411,1,1,26-34,2
8412,2,1,18-25,1
8413,1,0,47-65,2
8414,2,1,47-65,2
8415,2,1,65-79,1
8416,2,0,65-79,1
8417,2,0,35-46,1
8418,2,1,35-46,2
8419,2,0,47-65,1
8420,1,1,35-46,1
8421,2,1,47-65,2
8422,1,0,35-46,2
8423,2,1,47-65,2
8424,1,1,26-34,1
8425,2,0,35-46,1
8426,1,1,65-79,1
8427,1,1,47-65,1
8428,2,1,47-65,1
8429,2,0,47-65,1
8430,2,0,18-25,2
8431,2,1,47-65,1
8432,1,1,47-65,1
8433,1,1,18-25,2
8434,2,1,47-65,2
8435,2,0,65-79,2
8436,1,1,65-79,2
8437,2,0,80+,1
8438,2,1,47-65,2
8439,2,1,65-79,2
8440,1,1,26-34,2
8441,1,0,35-46,1
8442,2,0,80+,2
8443,1,0,26-34,1
8444,2,1,26-34,1
8445,1,0,35-46,2
8446,1,1,26-34,2
8447,1,0,65-79,2
8448,2,1,47-65,1
8449,2,1,18-25,2
8450,1,1,47-65,2
8451,2,0,35-46,1
8452,2,1,65-79,1
8453,1,1,35-46,1
8454,2,0,26-34,2
8455,1,1,47-65,1
8456,1,1,47-65,1
8457,1,1,65-79,1
8458,1,1,26-34,1
8459,1,0,35-46,1
8460,2,1,47-65,2
8461,1,1,26-34,2
8462,1,1,26-34,1
8463,2,1,47-65,2
8464,1,1,47-65,1
8465,2,0,47-65,2
8466,1,1,47-65,1
8467,2,1,35-46,1
8468,2,1,65-79,1
8469,2,1,26-34,1
8470,2,0,47-65,1
8471,2,0,80+,1
8472,1,1,47-65,2
8473,2,0,35-46,1
8474,1,0,47-65,1
8475,1,0,47-65,1
8476,2,1,65-79,2
8477,1,1,65-79,1
8478,2,0,65-79,1
8479,2,0,80+,1
8480,1,1,26-34,1
8481,2,0,47-65,2
8482,2,1,18-25,1
8483,1,1,35-46,1
8484,2,0,65-79,2
8485,1,0,65-79,2
8486,2,1,47-65,2
8487,2,0,35-46,1
8488,1,1,47-65,2
8489,1,0,47-65,1
8490,2,0,47-65,1
8491,1,0,65-79,1
8492,1,0,35-46,2
8493,1,0,35-46,1
8494,2,1,47-65,2
8495,2,1,26-34,2
8496,1,1,47-65,2
8497,2,1,47-65,1
8498,1,1,65-79,2
8499,1,0,18-25,2
8500,1,0,47-65,1
8501,1,0,47-65,1
8502,2,1,47-65,1
8503,1,1,35-46,1
8504,2,0,26-34,2
8505,2,1,47-65,1
8506,1,1,26-34,1
8507,2,1,47-65,2
8508,1,0,18-25,1
8509,2,0,26-34,1
8510,2,1,47-65,2
8511,2,0,47-65,2
8512,2,0,26-34,1
8513,2,1,65-79,1
8514,2,1,18-25,1
8515,2,0,47-65,1
8516,1,0,35-46,1
8517,1,1,65-79,1
8518,2,1,47-65,1
8519,2,1,47-65,2
8520,2,1,65-79,1
8521,1,1,47-65,2
8522,1,0,65-79,1
8523,1,0,35-46,2
8524,2,1,35-46,2
8525,1,1,26-34,2
8526,1,1,65-79,2
8527,1,0,65-79,1
8528,2,1,35-46,2
8529,2,1,47-65,1
8530,2,1,47-65,1
8531,1,0,65-79,2
8532,2,0,65-79,1
8533,1,0,65-79,1
8534,2,1,47-65,2
8535,2,1,35-46,2
8536,2,1,26-34,1
8537,2,0,80+,1
8538,2,0,26-34,1
8539,2,0,35-46,2
8540,1,0,65-79,2
8541,1,0,35-46,2
8542,1,0,65-79,2
8543,2,1,65-79,1
8544,2,1,35-46,2
8545,2,1,26-34,1
8546,2,1,47-65,2
8547,1,0,47-65,1
8548,2,1,35-46,2
8549,2,0,18-25,2
8550,1,1,26-34,1
8551,2,0,65-79,2
8552,2,1,35-46,1
8553,1,1,18-25,2
8554,1,0,35-46,2
8555,2,0,35-46,2
8556,1,0,47-65,1
8557,2,1,65-79,1
8558,2,1,47-65,1
8559,2,1,65-79,1
8560,1,1,18-25,1
8561,2,0,47-65,1
8562,1,1,47-65,1
8563,2,1,65-79,1
8564,2,0,26-34,2
8565,1,0,47-65,2
8566,2,1,35-46,1
8567,1,0,80+,1
